video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
ijjGqwdXa1c,Taylor Swift,"It’s me, Benjamin 🐱 joining the #TSAntiHeroChallenge brought to you by YouTube Shorts",,,2022-11-11T17:04:21Z,47723725,2634322,,10350,PT16S,hd,false
eSLO-HpSWD0,Taylor Swift,Taylor Swift - Anti-Hero (Roosevelt Remix),"Listen to “Anti-Hero (Roosevelt Remix)” by Taylor Swift.

Buy/Download/Stream ‘Anti-Hero (Remixes)’: https://taylor.lnk.to/AHRemixes
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnidnights

►Join the #TSAntiHeroChallenge: https://yt.be/TSAntiHero 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#taylorswift #midnights #antihero","['taylor swift', 'taylor swift anti hero', 'anti hero', 'antihero roosevelt remix', 'roosevelt', 'taylor swift roosevelt remix', 'antihero remix', 'anti hero remix', 'midnights remix', 'midnights']",2022-11-11T03:00:30Z,546568,26406,,1507,PT5M4S,hd,false
uybMJ8cSWtA,Taylor Swift,Taylor Swift - Anti-Hero (Kungs Remix),"Listen to “Anti-Hero (Kungs Remix)” by Taylor Swift.

Buy/Download/Stream ‘Anti-Hero (Remixes)’: https://taylor.lnk.to/AHRemixes
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnidnights

►Join the #TSAntiHeroChallenge: https://yt.be/TSAntiHero 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#taylorswift #midnights #antihero","['anti-hero', 'taylor swift', 'taylor swift anti-hero', 'kungs', 'antihero remix', 'anti hero remix', 'kungs remix', 'anti-hero kungs']",2022-11-11T03:00:20Z,812441,24741,,1026,PT3M19S,hd,false
Cd3v_pRgOp8,Taylor Swift,Taylor Swift - Anti-Hero (Jayda G Remix),"Listen to “Anti-Hero (Jayda G remix)” by Taylor Swift.

Buy/Download/Stream ‘Anti-Hero (Remixes)’: https://taylor.lnk.to/AHRemixes
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnidnights

►Join the #TSAntiHeroChallenge: https://yt.be/TSAntiHero 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#taylorswift #midnights #antihero","['taylor swift', 'anti hero', 'anti hero taylor swift', 'antihero remix', 'anti hero remix', 'jayda g', 'midnights remix']",2022-11-11T03:00:06Z,643107,17544,,737,PT3M36S,hd,false
NbS4s_6jYTg,Taylor Swift,The Anti Hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl,,,2022-11-09T21:05:35Z,965812,58854,,592,PT16S,hd,false
T1d9PiRAJNM,Taylor Swift,Taylor Swift - Anti-Hero (feat. Bleachers),"Listen to “Anti-Hero (feat. Bleachers)” by Taylor Swift.

Download/Stream ""Anti-Hero (feat. Bleachers): https://taylor.lnk.to/AHBleachers
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights 

►Join the #TSAntiHeroChallenge: https://yt.be/TSAntiHero 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#TaylorSwift #Bleachers #AntiHero","['taylor swift', 'taylor', 'swift', 'antihero', 'anti hero', 'midnights', 'taylor swift new music', 'taylor swift midnights', 'taylor swift album', 'taylor swift new album', 'swifties', 'taylors version', 'taylor swift lyrics', 'official taylor swift video', 'taylor swift challenge', 'anti hero challenge']",2022-11-08T05:00:13Z,1756810,117035,,4429,PT3M52S,hd,false
IVQqOzFKN2M,Taylor Swift,"It’s me, 👋 sharing ALL the problems. Join the #TSAntiHeroChallenge brought to you by YouTube Shorts",,,2022-11-04T14:53:16Z,54726247,2595763,,11460,PT16S,hd,false
uhjx7FemU6o,Taylor Swift,"Hits Different really hits different, plus it’s got one of my fav bridges 😆 only avail at Target",,,2022-11-04T13:42:37Z,1320412,119509,,1768,PT11S,hd,false
lM1P2JwZ5jE,Taylor Swift,Total surprise 😉 Share yours with  #TSAntiHeroChallenge brought to you by YouTube Shorts.,,,2022-11-01T12:31:39Z,74549508,3201686,,20602,PT16S,hd,false
yJ_GML26Xk4,Taylor Swift,We’re the problem,,,2022-10-26T18:32:03Z,1485599,141061,,1091,PT10S,hd,false
b7QlX3yR2xs,TaylorSwiftVEVO,Taylor Swift - Bejeweled (Official Music Video),"Official music video for “Bejeweled” by Taylor Swift from the album ‘Midnights’.

Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

►Lyrics:
Written by Taylor Swift and Jack Antonoff

Baby love, I think I’ve been a little too kind
Didn’t notice you walking all over my peace of mind
In the shoes I gave you as a present
Putting someone first only works
When you’re in their top 5
And by the way
I’m going out tonight

Best believe I’m still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, “Do you have a man?”
I could still say, “I don’t remember”
Familiarity breeds contempt
Don’t put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real
I polish up real nice
NICE!

Baby boy, I think I’ve been too good of a girl 
Too good of a girl
Did all the extra credit then got graded on a curve
I think it’s time to teach some lessons
I made you my world
Have you heard
I can reclaim the land
And I miss you
But I miss sparkling …

Chorus

Sapphire tears on my face
Sadness became my whole sky
But some guy said my aura’s moonstone
Just ‘cause he was high
And we’re dancing all night
And you can try
To change my mind
But you might have to wait in line
What’s a girl gonna do?
A diamond’s gotta shine

Chorus
And we’re dancing all night
And you can try
To change my mind
But you might have to wait in line
What’s a girl gonna do?
What’s a girl gonna do? 
I polish up nice
Best believe I’m still bejeweled
When I walk in the room
I can still make the whole place shimmer

Director: Taylor Swift
Director of Photography: Rina Yang
Producer: Sara D'Alessio
Editor: Chancler Haynes
Production Designer: Ethan Tobman
1st AD: Anthony Dimino
Visual Effects: Parliament
Production Companies: Taylor Swift Productions & Revolution Pictures

#taylorswift #midnights #bejeweled 

Music video by Taylor Swift performing Bejeweled. © 2022 Taylor Swift","['taylor swift', 'taylor', 'swift', 'bejeweled', 'midnights', 'taylor swift new music', 'taylor swift midnights', 'taylor swift album', 'taylor swift new album', 'swifties', 'taylors version', 'taylor swift lyrics', 'official taylor swift video', 'taylor swift challenge', 'anti hero challenge', 'taylor swift tiktok', 'テイラー・スウィフト', '테일러 스위프트', '泰勒絲', '泰勒斯威夫特']",2022-10-25T04:00:09Z,51110713,1713298,,49079,PT5M54S,hd,true
ycE7bUq3-2k,TaylorSwiftVEVO,Taylor Swift ft. Lana del Rey - Snow On The Beach (Official Lyric Video),"Listen to “Snow On The Beach (featuring Lana del Rey)” by Taylor Swift from the album ‘Midnights’.

Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

►Lyrics:
Written by Taylor Swift, Jack Antonoff and Lana Del Rey

One night a few moons ago I 
Saw flecks of what could’ve been lights
But it might just have been you
Passing by unbeknownst to me
Life is emotionally abusive
And time can’t stop me quite like you did
And my flight was awful, thanks for asking
I’m unglued - thanks to you

And it’s like snow at the beach
Weird but fuckin’ beautiful 
Flying in a dream
Stars by the pocketful
You wanting me
Tonight
Feels impossible
But it’s comin’ down, no sound, it’s all around
Like snow on the beach

This scene feels like what I once saw on a screen 
I searched ‘aurora borealis green’
I’ve never seen
someone lit from within
Blurring out my periphery
My smile is like I won a contest
And to hide that would be so dishonest
And it’s fine to fake it ’til you make it
Til you do
Til it’s true

Now it’s like snow at the beach
Weird but fuckin’ beautiful 
Flying in a dream
Stars by the pocketful
You wanting me
Tonight
Feels impossible
But it’s comin’ down, no sound, it’s all around
Like snow on the beach

I can’t speak, afraid to jinx it
I don’t even dare to wish it
But your eyes are flying saucers
From another planet
Now I’m all for you like Janet
Can this be a real thing, can it?

Are we falling like
snow at the beach
Weird but fuckin’ beautiful 
Flying in a dream
Stars by the pocketful
You wanting me
Tonight
Feels impossible
But it’s comin’ down, no sound, it’s all around
Like snow on the beach

#taylorswift #lanadelrey #midnights #snowonthebeach  

Music video by Taylor Swift performing Snow On The Beach (Lyric Video). © 2022 Taylor Swift","['taylor swift', 'taylor', 'swift', 'lana del rey', 'lana taylor', 'taylor swift collab', 'snow on the beach', 'midnights', 'taylor swift new music', 'taylor swift midnights', 'taylor swift album', 'taylor swift new album', 'swifties', 'taylors version', 'taylor swift lyrics', 'official taylor swift video', 'taylor swift challenge', 'anti hero challenge', 'taylor swift tiktok', 'テイラー・スウィフト', '테일러 스위프트', '泰勒絲', '泰勒斯威夫特']",2022-10-22T00:00:39Z,18568936,351180,,7928,PT4M20S,hd,false
ySZGZrcqvr4,TaylorSwiftVEVO,Taylor Swift - Paris (Official Lyric Video),"Listen to ""Paris"" by Taylor Swift from the album ‘Midnights (3am Edition)’

Buy/Download/Stream ‘Midnights (3am Edition)’: https://taylor.lnk.to/taylorswiftmidnights 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

►Lyrics:
Written by Taylor Swift and Jack Antonoff

Your ex-friend’s sister met someone at a club and he kissed her 
Turns out it was that guy you hooked up with ages ago, some wannabe Z-lister 
and all the outfits were terrible  
2003 unbearable  
Did you see the photos? 
No, I didn’t but thanks though 
 
I’m so in love that I might stop breathing  
Drew a map on your bedroom ceiling  
No, I didn’t see the news  
Cause we were somewhere else  
Stumble down pretend alleyways 
Cheap wine make believe it’s Champagne  
I was taken by the view 
Like we were in Paris
Like we were somewhere else
Like we were in Paris
We were somewhere else
  
Privacy sign on the door  
And on my page and on the whole world  
Romance is not dead  
If you keep it just yours  
Levitate above all the messes made 
Sit quiet by my side in the shade  
And not the kind that’s thrown, I mean 
The kind under where a tree has grown  

Chorus  

I want to brainwash you into loving me forever  
I want to transport you to somewhere the culture’s clever  
Confess my truth in swooping, sloping, cursive letters  
Let the only flashing lights  
Be the tower at midnight  
In my mind  

We drew a map on your bedroom ceiling  
No, I didn’t see the news  
Cause we were somewhere else  
In an alleyway 
Drinking Champagne  
Cause we were in Paris  
Yes, we were somewhere else  
My love, we were in Paris  
Yes, we were somewhere else

#taylorswift #midnights #paris



Music video by Taylor Swift performing Paris (Lyric Video). © 2022 Taylor Swift","['taylor swift', 'taylor', 'swift', 'midnights', 'taylor swift new music', 'taylor swift midnights', 'taylor swift album', 'taylor swift new album', 'swifties', 'taylors version', 'taylor swift lyrics', 'official taylor swift video', 'taylor swift challenge', 'anti hero challenge', 'taylor swift tiktok', 'taylor swift deluxe', 'paris', 'テイラー・スウィフト', '테일러 스위프트', '泰勒絲', '泰勒斯威夫特']",2022-10-22T00:00:37Z,5669133,95405,,1552,PT3M20S,hd,false
